arm,family,layer,n,median_share,q25,q75,mean_share,median_n_atoms
gauss4243,directions,2,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,3,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,4,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,5,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,6,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,7,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,8,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,9,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,10,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,directions,11,2,0.387563,0.384467,0.390659,0.387563,25.0
gauss4243,lang,0,125,0.371816,0.368198,0.375730,0.371503,25.0
gauss4243,lang,1,125,0.370951,0.368897,0.374578,0.371402,25.0
gauss4243,lang,2,125,0.369787,0.368242,0.370756,0.370993,25.0
gauss4243,lang,3,125,0.370415,0.367621,0.373752,0.372345,25.0
gauss4243,lang,4,125,0.373666,0.369299,0.376758,0.374338,25.0
gauss4243,lang,5,125,0.371292,0.370347,0.376281,0.372731,25.0
gauss4243,lang,6,125,0.369358,0.365823,0.372542,0.369766,25.0
gauss4243,lang,7,125,0.372060,0.369925,0.373392,0.371205,25.0
gauss4243,lang,8,125,0.371525,0.367740,0.373803,0.370805,25.0
gauss4243,lang,9,125,0.374259,0.371554,0.375399,0.373910,25.0
gauss4243,lang,10,125,0.372092,0.369482,0.375296,0.372392,25.0
gauss4243,lang,11,125,0.380161,0.376538,0.382706,0.378356,25.0
gauss4243,named,0,10,0.374225,0.371648,0.378168,0.375281,25.0
gauss4243,named,1,10,0.369663,0.368986,0.374048,0.372294,25.0
gauss4243,named,2,10,0.373843,0.368517,0.375621,0.371020,25.0
gauss4243,named,3,10,0.372975,0.370153,0.375285,0.371559,25.0
gauss4243,named,4,10,0.372790,0.367722,0.373064,0.370781,25.0
gauss4243,named,5,10,0.370600,0.365867,0.373592,0.369545,25.0
gauss4243,named,6,10,0.372182,0.370601,0.373501,0.370424,25.0
gauss4243,named,7,10,0.371694,0.367932,0.373943,0.371424,25.0
gauss4243,named,8,10,0.372232,0.369264,0.376284,0.372634,25.0
gauss4243,named,9,10,0.375108,0.371219,0.376778,0.373547,25.0
gauss4243,named,10,10,0.373204,0.370121,0.376149,0.372189,25.0
gauss4243,named,11,10,0.377664,0.376095,0.379995,0.375787,25.0
gauss4243,noise17,0,125,0.371656,0.367576,0.374336,0.370984,25.0
gauss4243,noise17,1,125,0.372367,0.364778,0.375061,0.371221,25.0
gauss4243,noise17,2,125,0.372191,0.367967,0.379271,0.374237,25.0
gauss4243,noise17,3,125,0.375135,0.371004,0.382348,0.375245,25.0
gauss4243,noise17,4,125,0.375079,0.371361,0.384806,0.376844,25.0
gauss4243,noise17,5,125,0.375218,0.370520,0.379403,0.375111,25.0
gauss4243,noise17,6,125,0.372588,0.367766,0.378067,0.372729,25.0
gauss4243,noise17,7,125,0.372768,0.370218,0.377435,0.373779,25.0
gauss4243,noise17,8,125,0.373317,0.370356,0.377876,0.373141,25.0
gauss4243,noise17,9,125,0.373325,0.369750,0.382703,0.375295,25.0
gauss4243,noise17,10,125,0.373945,0.369848,0.378386,0.374984,25.0
gauss4243,noise17,11,125,0.369514,0.364143,0.383396,0.372796,25.0
gauss4243,nullold,0,125,0.379232,0.371299,0.383837,0.377485,25.0
gauss4243,nullold,1,125,0.388996,0.378686,0.396779,0.387676,25.0
gauss4243,nullold,2,125,0.366618,0.363045,0.370565,0.367439,25.0
gauss4243,nullold,3,125,0.366801,0.362462,0.370629,0.367126,25.0
gauss4243,nullold,4,125,0.369364,0.364717,0.373905,0.369368,25.0
gauss4243,nullold,5,125,0.369468,0.365979,0.374554,0.370099,25.0
gauss4243,nullold,6,125,0.371643,0.367890,0.375932,0.371380,25.0
gauss4243,nullold,7,125,0.370709,0.367469,0.373870,0.370937,25.0
gauss4243,nullold,8,125,0.369590,0.365961,0.373345,0.369827,25.0
gauss4243,nullold,9,125,0.370818,0.367861,0.375158,0.371374,25.0
gauss4243,nullold,10,125,0.367454,0.363588,0.372850,0.367750,25.0
gauss4243,nullold,11,125,0.372909,0.368119,0.377762,0.372692,25.0
gauss4244,clean_last,0,125,0.374796,0.366398,0.381155,0.374375,25.0
gauss4244,clean_last,1,125,0.373708,0.368026,0.379013,0.373592,25.0
gauss4244,clean_last,2,125,0.372959,0.368621,0.378577,0.373972,25.0
gauss4244,clean_last,3,125,0.371904,0.365637,0.378236,0.371815,25.0
gauss4244,clean_last,4,125,0.372537,0.365697,0.380005,0.373128,25.0
gauss4244,clean_last,5,125,0.370726,0.367537,0.379482,0.372441,25.0
gauss4244,clean_last,6,125,0.372238,0.367154,0.379429,0.372442,25.0
gauss4244,clean_last,7,125,0.372966,0.366021,0.378482,0.372617,25.0
gauss4244,clean_last,8,125,0.371403,0.365219,0.378252,0.371944,25.0
gauss4244,clean_last,9,125,0.372927,0.367574,0.378921,0.373576,25.0
gauss4244,clean_last,10,125,0.378335,0.371945,0.384987,0.378257,25.0
gauss4244,clean_last,11,125,0.386122,0.380630,0.393647,0.386455,25.0
gauss4244,clean_mean,0,125,0.383363,0.378844,0.389058,0.383900,25.0
gauss4244,clean_mean,1,125,0.391983,0.384965,0.396025,0.390138,25.0
gauss4244,clean_mean,2,125,0.370390,0.368174,0.372742,0.370782,25.0
gauss4244,clean_mean,3,125,0.369714,0.367140,0.372313,0.369842,25.0
gauss4244,clean_mean,4,125,0.368630,0.366501,0.371647,0.369295,25.0
gauss4244,clean_mean,5,125,0.369398,0.367140,0.373068,0.369740,25.0
gauss4244,clean_mean,6,125,0.369832,0.366373,0.372761,0.369615,25.0
gauss4244,clean_mean,7,125,0.370815,0.366421,0.374128,0.370689,25.0
